type,protein
Conditional phenotypes,YBR158W
Conditional phenotypes,YBR159W
Conditional phenotypes,YBR160W
Conditional phenotypes,YBR169C
Conditional phenotypes,YBR171W
Conditional phenotypes,YBR179C
Conditional phenotypes,YBR185C
Conditional phenotypes,YBR189W
Conditional phenotypes,YBR200W
Conditional phenotypes,YBR212W
Conditional phenotypes,YBR253W
Conditional phenotypes,YBR279W
Conditional phenotypes,YCL004W
Conditional phenotypes,YCL029C
Conditional phenotypes,YCL043C
Conditional phenotypes,YCR002C
Conditional phenotypes,YCR021C
Conditional phenotypes,YCR028C
Conditional phenotypes,YCR034W
Conditional phenotypes,YCR042C
Conditional phenotypes,YCR044C
Conditional phenotypes,YCR047C
Conditional phenotypes,YCR063W
Conditional phenotypes,YCR077C
Conditional phenotypes,YCR088W
Conditional phenotypes,YCR094W
Conditional phenotypes,YDL003W
Conditional phenotypes,YDL005C
Conditional phenotypes,YDL006W
Conditional phenotypes,YDL014W
Conditional phenotypes,YDL040C
Conditional phenotypes,YDL047W
Conditional phenotypes,YDL058W
Conditional phenotypes,YDL084W
Conditional phenotypes,YDL090C
Conditional phenotypes,YDL092W
Conditional phenotypes,YDL102W
Conditional phenotypes,YDL108W
Conditional phenotypes,YDL116W
Conditional phenotypes,YDL145C
Conditional phenotypes,YDL160C
Conditional phenotypes,YDL185W
Conditional phenotypes,YDL188C
Conditional phenotypes,YDL192W
Conditional phenotypes,YDL195W
Conditional phenotypes,YDL198C
Conditional phenotypes,YDL200C
Conditional phenotypes,YDL207W
Conditional phenotypes,YDL220C
Conditional phenotypes,YDL226C
Conditional phenotypes,YDL229W
Conditional phenotypes,YDL232W
Conditional phenotypes,YDR002W
Conditional phenotypes,YDR021W
Conditional phenotypes,YDR025W
Conditional phenotypes,YDR028C
Conditional phenotypes,YDR052C
Conditional phenotypes,YDR054C
Conditional phenotypes,YDR074W
Conditional phenotypes,YDR081C
Conditional phenotypes,YDR082W
Conditional phenotypes,YDR087C
Conditional phenotypes,YDR113C
Conditional phenotypes,YDR118W
Conditional phenotypes,YDR138W
Conditional phenotypes,YDR150W
Conditional phenotypes,YDR155C
Conditional phenotypes,YDR159W
Conditional phenotypes,YDR173C
Conditional phenotypes,YDR174W
Conditional phenotypes,YDR176W
Conditional phenotypes,YDR182W
Conditional phenotypes,YDR195W
Conditional phenotypes,YDR207C
Conditional phenotypes,YDR212W
Conditional phenotypes,YDR225W
Conditional phenotypes,YDR226W
Conditional phenotypes,YDR245W
Conditional phenotypes,YDR251W
Conditional phenotypes,YDR264C
Conditional phenotypes,YDR283C
Conditional phenotypes,YDR323C
Conditional phenotypes,YDR353W
Conditional phenotypes,YDR364C
Conditional phenotypes,YDR390C
Conditional phenotypes,YDR427W
Conditional phenotypes,YDR432W
Conditional phenotypes,YDR448W
Conditional phenotypes,YDR454C
Conditional phenotypes,YDR457W
Conditional phenotypes,YDR483W
Conditional phenotypes,YDR484W
Conditional phenotypes,YDR488C
Conditional phenotypes,YDR495C
Conditional phenotypes,YDR498C
Conditional phenotypes,YDR507C
Conditional phenotypes,YEL003W
Conditional phenotypes,YEL013W
Conditional phenotypes,YEL019C
Conditional phenotypes,YEL027W
Conditional phenotypes,YEL034W
Conditional phenotypes,YEL036C
Conditional phenotypes,YER007W
Conditional phenotypes,YER008C
Conditional phenotypes,YER016W
Conditional phenotypes,YER021W
Conditional phenotypes,YER022W
Conditional phenotypes,YER023W
Conditional phenotypes,YER032W
Conditional phenotypes,YER068W
Conditional phenotypes,YER107C
Conditional phenotypes,YER111C
Conditional phenotypes,YER125W
Conditional phenotypes,YER127W
Conditional phenotypes,YER155C
Conditional phenotypes,YER159C
Conditional phenotypes,YER168C
Conditional phenotypes,YER172C
Conditional phenotypes,YFL001W
Conditional phenotypes,YFL002C
Conditional phenotypes,YFL009W
Conditional phenotypes,YFL016C
Conditional phenotypes,YFL029C
Conditional phenotypes,YFL037W
Conditional phenotypes,YFL038C
Conditional phenotypes,YFL039C
Conditional phenotypes,YFL045C
Conditional phenotypes,YFR002W
Conditional phenotypes,YFR004W
Conditional phenotypes,YFR019W
Conditional phenotypes,YFR027W
Conditional phenotypes,YFR033C
Conditional phenotypes,YFR036W
Conditional phenotypes,YFR052W
Conditional phenotypes,YGL003C
Conditional phenotypes,YGL022W
Conditional phenotypes,YGL044C
Conditional phenotypes,YGL055W
Conditional phenotypes,YGL058W
Conditional phenotypes,YGL070C
Conditional phenotypes,YGL073W
Conditional phenotypes,YGL076C
Conditional phenotypes,YGL078C
Conditional phenotypes,YGL092W
Conditional phenotypes,YGL093W
Conditional phenotypes,YGL100W
Conditional phenotypes,YGL105W
Conditional phenotypes,YGL120C
Conditional phenotypes,YGL128C
Conditional phenotypes,YGL130W
Conditional phenotypes,YGL135W
Conditional phenotypes,YGL137W
Conditional phenotypes,YGL155W
Conditional phenotypes,YGL173C
Conditional phenotypes,YGL178W
Conditional phenotypes,YGL189C
Conditional phenotypes,YGL190C
Conditional phenotypes,YGL206C
Conditional phenotypes,YGL212W
Conditional phenotypes,YGL216W
Conditional phenotypes,YGL238W
Conditional phenotypes,YGL240W
Conditional phenotypes,YGL255W
Conditional phenotypes,YGR009C
Conditional phenotypes,YGR036C
Conditional phenotypes,YGR056W
Conditional phenotypes,YGR063C
Conditional phenotypes,YGR075C
Conditional phenotypes,YGR078C
Conditional phenotypes,YGR082W
Conditional phenotypes,YGR092W
Conditional phenotypes,YGR104C
Conditional phenotypes,YGR105W
Conditional phenotypes,YGR116W
Conditional phenotypes,YGR120C
Conditional phenotypes,YGR140W
Conditional phenotypes,YGR159C
Conditional phenotypes,YGR162W
Conditional phenotypes,YGR167W
Conditional phenotypes,YGR180C
Conditional phenotypes,YGR214W
Conditional phenotypes,YGR216C
Conditional phenotypes,YGR217W
Conditional phenotypes,YGR252W
Conditional phenotypes,YGR262C
Conditional phenotypes,YGR274C
Conditional phenotypes,YGR276C
Conditional phenotypes,YHL004W
Conditional phenotypes,YHL011C
Conditional phenotypes,YHL027W
Conditional phenotypes,YHL031C
Conditional phenotypes,YHL035C
Conditional phenotypes,YHR002W
Conditional phenotypes,YHR004C
Conditional phenotypes,YHR010W
Conditional phenotypes,YHR023W
Conditional phenotypes,YHR027C
Conditional phenotypes,YHR030C
Conditional phenotypes,YHR038W
Conditional phenotypes,YHR041C
Conditional phenotypes,YHR051W
Conditional phenotypes,YHR057C
Conditional phenotypes,YHR059W
Conditional phenotypes,YHR060W
Conditional phenotypes,YHR064C
Conditional phenotypes,YHR067W
Conditional phenotypes,YHR068W
Conditional phenotypes,YHR084W
Conditional phenotypes,YHR098C
Conditional phenotypes,YHR101C
Conditional phenotypes,YHR107C
Conditional phenotypes,YHR120W
Conditional phenotypes,YHR135C
Conditional phenotypes,YHR137W
Conditional phenotypes,YHR164C
Conditional phenotypes,YHR166C
Conditional phenotypes,YHR168W
Conditional phenotypes,YHR174W
Conditional phenotypes,YHR187W
Conditional phenotypes,YHR205W
Conditional phenotypes,YIL031W
Conditional phenotypes,YIL033C
Conditional phenotypes,YIL061C
Conditional phenotypes,YIL063C
Conditional phenotypes,YIL075C
Conditional phenotypes,YIL078W
Conditional phenotypes,YIL115C
Conditional phenotypes,YIL118W
Conditional phenotypes,YIL119C
Conditional phenotypes,YIL126W
Conditional phenotypes,YIL128W
Conditional phenotypes,YIL142W
Conditional phenotypes,YIL150C
Conditional phenotypes,YIL154C
Conditional phenotypes,YIR009W
Conditional phenotypes,YIR011C
Conditional phenotypes,YIR024C
Conditional phenotypes,YIR038C
Conditional phenotypes,YJL001W
Conditional phenotypes,YJL004C
Conditional phenotypes,YJL005W
Conditional phenotypes,YJL006C
Conditional phenotypes,YJL014W
Conditional phenotypes,YJL041W
Conditional phenotypes,YJL054W
Conditional phenotypes,YJL061W
Conditional phenotypes,YJL080C
Conditional phenotypes,YJL089W
Conditional phenotypes,YJL091C
Conditional phenotypes,YJL095W
Conditional phenotypes,YJL099W
Conditional phenotypes,YJL101C
Conditional phenotypes,YJL115W
Conditional phenotypes,YJL125C
Conditional phenotypes,YJL127C
Conditional phenotypes,YJL140W
Conditional phenotypes,YJL141C
Conditional phenotypes,YJL167W
Conditional phenotypes,YJL174W
Conditional phenotypes,YJL203W
Conditional phenotypes,YJL204C
Conditional phenotypes,YJL209W
Conditional phenotypes,YJL210W
Conditional phenotypes,YJR002W
Conditional phenotypes,YJR006W
Conditional phenotypes,YJR031C
Conditional phenotypes,YJR032W
Conditional phenotypes,YJR042W
Conditional phenotypes,YJR043C
Conditional phenotypes,YJR055W
Conditional phenotypes,YJR068W
Conditional phenotypes,YJR076C
Conditional phenotypes,YJR090C
Conditional phenotypes,YJR093C
Conditional phenotypes,YKL009W
Conditional phenotypes,YKL020C
Conditional phenotypes,YKL022C
Conditional phenotypes,YKL028W
Conditional phenotypes,YKL056C
Conditional phenotypes,YKL057C
Conditional phenotypes,YKL073W
Conditional phenotypes,YKL080W
Conditional phenotypes,YKL113C
Conditional phenotypes,YKL117W
Conditional phenotypes,YKL122C
Conditional phenotypes,YKL139W
Conditional phenotypes,YKL154W
Conditional phenotypes,YKL167C
Conditional phenotypes,YKL181W
Conditional phenotypes,YKL213C
Conditional phenotypes,YKR001C
Conditional phenotypes,YKR024C
Conditional phenotypes,YKR082W
Conditional phenotypes,YKR086W
Conditional phenotypes,YLL006W
Conditional phenotypes,YLL008W
Conditional phenotypes,YLL026W
Conditional phenotypes,YLL036C
Conditional phenotypes,YLL039C
Conditional phenotypes,YLL050C
Conditional phenotypes,YLL060C
Conditional phenotypes,YLR025W
Conditional phenotypes,YLR038C
Conditional phenotypes,YLR048W
Conditional phenotypes,YLR075W
Conditional phenotypes,YLR078C
Conditional phenotypes,YLR102C
Conditional phenotypes,YLR127C
Conditional phenotypes,YLR148W
Conditional phenotypes,YLR175W
Conditional phenotypes,YLR195C
Conditional phenotypes,YLR197W
Conditional phenotypes,YLR200W
Conditional phenotypes,YLR223C
Conditional phenotypes,YLR229C
Conditional phenotypes,YLR234W
Conditional phenotypes,YLR240W
Conditional phenotypes,YLR244C
Conditional phenotypes,YLR262C
Conditional phenotypes,YLR268W
Conditional phenotypes,YLR298C
Conditional phenotypes,YLR305C
Conditional phenotypes,YLR310C
Conditional phenotypes,YLR314C
Conditional phenotypes,YLR319C
Conditional phenotypes,YLR337C
Conditional phenotypes,YLR342W
Conditional phenotypes,YLR357W
Conditional phenotypes,YLR369W
Conditional phenotypes,YLR371W
Conditional phenotypes,YLR372W
Conditional phenotypes,YLR378C
Conditional phenotypes,YLR396C
Conditional phenotypes,YLR399C
Conditional phenotypes,YLR403W
Conditional phenotypes,YLR430W
Conditional phenotypes,YML008C
Conditional phenotypes,YML031W
Conditional phenotypes,YML035C
Conditional phenotypes,YML061C
Conditional phenotypes,YML062C
Conditional phenotypes,YML078W
Conditional phenotypes,YML085C
Conditional phenotypes,YML094W
Conditional phenotypes,YML097C
Conditional phenotypes,YML104C
Conditional phenotypes,YML105C
Conditional phenotypes,YML112W
Conditional phenotypes,YML121W
Conditional phenotypes,YML130C
Conditional phenotypes,YMR001C
Conditional phenotypes,YMR021C
Conditional phenotypes,YMR032W
Conditional phenotypes,YMR038C
Conditional phenotypes,YMR047C
Conditional phenotypes,YMR078C
Conditional phenotypes,YMR094W
Conditional phenotypes,YMR106C
Conditional phenotypes,YMR116C
Conditional phenotypes,YMR137C
Conditional phenotypes,YMR138W
Conditional phenotypes,YMR146C
Conditional phenotypes,YMR154C
Conditional phenotypes,YMR216C
Conditional phenotypes,YMR223W
Conditional phenotypes,YMR235C
Conditional phenotypes,YMR275C
Conditional phenotypes,YMR284W
Conditional phenotypes,YMR294W
Conditional phenotypes,YMR301C
Conditional phenotypes,YMR302C
Conditional phenotypes,YMR304W
Conditional phenotypes,YMR308C
Conditional phenotypes,YNL001W
Conditional phenotypes,YNL007C
Conditional phenotypes,YNL030W
Conditional phenotypes,YNL054W
Conditional phenotypes,YNL062C
Conditional phenotypes,YNL079C
Conditional phenotypes,YNL084C
Conditional phenotypes,YNL098C
Conditional phenotypes,YNL112W
Conditional phenotypes,YNL135C
Conditional phenotypes,YNL137C
Conditional phenotypes,YNL138W
Conditional phenotypes,YNL139C
Conditional phenotypes,YNL151C
Conditional phenotypes,YNL153C
Conditional phenotypes,YNL154C
Conditional phenotypes,YNL189W
Conditional phenotypes,YNL209W
Conditional phenotypes,YNL215W
Conditional phenotypes,YNL221C
Conditional phenotypes,YNL225C
Conditional phenotypes,YNL236W
Conditional phenotypes,YNL243W
Conditional phenotypes,YNL252C
Conditional phenotypes,YNL261W
Conditional phenotypes,YNL287W
Conditional phenotypes,YNL307C
Conditional phenotypes,YNL312W
Conditional phenotypes,YNR010W
Conditional phenotypes,YNR023W
Conditional phenotypes,YNR038W
Conditional phenotypes,YNR052C
Conditional phenotypes,YOL001W
Conditional phenotypes,YOL021C
Conditional phenotypes,YOL022C
Conditional phenotypes,YOL030W
Conditional phenotypes,YOL036W
Conditional phenotypes,YOL049W
Conditional phenotypes,YOL052C
Conditional phenotypes,YOL076W
Conditional phenotypes,YOL086C
Conditional phenotypes,YOL109W
Conditional phenotypes,YOL115W
Conditional phenotypes,YOL145C
Conditional phenotypes,YOL148C
Conditional phenotypes,YOR001W
Conditional phenotypes,YOR014W
Conditional phenotypes,YOR026W
Conditional phenotypes,YOR036W
Conditional phenotypes,YOR061W
Conditional phenotypes,YOR089C
Conditional phenotypes,YOR098C
Conditional phenotypes,YOR106W
Conditional phenotypes,YOR122C
Conditional phenotypes,YOR157C
Conditional phenotypes,YOR160W
Conditional phenotypes,YOR181W
Conditional phenotypes,YOR204W
Conditional phenotypes,YOR208W
Conditional phenotypes,YOR211C
Conditional phenotypes,YOR217W
Conditional phenotypes,YOR249C
Conditional phenotypes,YOR254C
Conditional phenotypes,YOR259C
Conditional phenotypes,YOR269W
Conditional phenotypes,YOR278W
Conditional phenotypes,YOR310C
Conditional phenotypes,YOR326W
Conditional phenotypes,YOR329C
Conditional phenotypes,YOR332W
Conditional phenotypes,YOR336W
Conditional phenotypes,YOR349W
Conditional phenotypes,YOR361C
Conditional phenotypes,YPL031C
Conditional phenotypes,YPL032C
Conditional phenotypes,YPL036W
Conditional phenotypes,YPL043W
Conditional phenotypes,YPL045W
Conditional phenotypes,YPL061W
Conditional phenotypes,YPL069C
Conditional phenotypes,YPL076W
Conditional phenotypes,YPL084W
Conditional phenotypes,YPL086C
Conditional phenotypes,YPL106C
Conditional phenotypes,YPL129W
Conditional phenotypes,YPL140C
Conditional phenotypes,YPL145C
Conditional phenotypes,YPL161C
Conditional phenotypes,YPL172C
Conditional phenotypes,YPL175W
Conditional phenotypes,YPL209C
Conditional phenotypes,YPL210C
Conditional phenotypes,YPL213W
Conditional phenotypes,YPL239W
Conditional phenotypes,YPL240C
Conditional phenotypes,YPL241C
Conditional phenotypes,YPL242C
Conditional phenotypes,YPL243W
Conditional phenotypes,YPL254W
Conditional phenotypes,YPL268W
Conditional phenotypes,YPR019W
Conditional phenotypes,YPR024W
Conditional phenotypes,YPR033C
Conditional phenotypes,YPR051W
Conditional phenotypes,YPR057W
Conditional phenotypes,YPR072W
Conditional phenotypes,YPR086W
Conditional phenotypes,YPR088C
Conditional phenotypes,YPR101W
Conditional phenotypes,YPR103W
Conditional phenotypes,YPR104C
Conditional phenotypes,YPR119W
Conditional phenotypes,YPR133C
Conditional phenotypes,YPR159W
Conditional phenotypes,YPR163C
Conditional phenotypes,YPR165W
Conditional phenotypes,YPR168W
Conditional phenotypes,YPR178W
Conditional phenotypes,YPR190C
Conditional phenotypes,YPR191W
Conditional phenotypes,YPR198W
Conditional phenotypes,YBL071W-A
Conditional phenotypes,YBR084C-A
Conditional phenotypes,YDR322C-A
Conditional phenotypes,YDR363W-A
Conditional phenotypes,YLR287C-A
Conditional phenotypes,YPR133W-A
Cell cycle defects,YAL016W
Cell cycle defects,YAL020C
Cell cycle defects,YAL021C
Cell cycle defects,YAL024C
Cell cycle defects,YAL025C
Cell cycle defects,YAL040C
Cell cycle defects,YAR019C
Cell cycle defects,YBL020W
Cell cycle defects,YBL058W
Cell cycle defects,YBL084C
Cell cycle defects,YBL105C
Cell cycle defects,YBR009C
Cell cycle defects,YBR057C
Cell cycle defects,YBR079C
Cell cycle defects,YBR088C
Cell cycle defects,YBR107C
Cell cycle defects,YBR109C
Cell cycle defects,YBR133C
Cell cycle defects,YBR135W
Cell cycle defects,YBR136W
Cell cycle defects,YBR160W
Cell cycle defects,YBR196C
Cell cycle defects,YBR200W
Cell cycle defects,YBR202W
Cell cycle defects,YCL029C
Cell cycle defects,YCR077C
Cell cycle defects,YCR086W
Cell cycle defects,YCR093W
Cell cycle defects,YDL003W
Cell cycle defects,YDL008W
Cell cycle defects,YDL017W
Cell cycle defects,YDL028C
Cell cycle defects,YDL047W
Cell cycle defects,YDL064W
Cell cycle defects,YDL087C
Cell cycle defects,YDL090C
Cell cycle defects,YDL102W
Cell cycle defects,YDL126C
Cell cycle defects,YDL134C
Cell cycle defects,YDL154W
Cell cycle defects,YDL164C
Cell cycle defects,YDL165W
Cell cycle defects,YDL188C
Cell cycle defects,YDL220C
Cell cycle defects,YDL226C
Cell cycle defects,YDR052C
Cell cycle defects,YDR054C
Cell cycle defects,YDR069C
Cell cycle defects,YDR076W
Cell cycle defects,YDR113C
Cell cycle defects,YDR123C
Cell cycle defects,YDR150W
Cell cycle defects,YDR168W
Cell cycle defects,YDR182W
Cell cycle defects,YDR200C
Cell cycle defects,YDR217C
Cell cycle defects,YDR224C
Cell cycle defects,YDR225W
Cell cycle defects,YDR254W
Cell cycle defects,YDR285W
Cell cycle defects,YDR303C
Cell cycle defects,YDR328C
Cell cycle defects,YDR356W
Cell cycle defects,YDR364C
Cell cycle defects,YDR457W
Cell cycle defects,YDR477W
Cell cycle defects,YDR499W
Cell cycle defects,YDR507C
Cell cycle defects,YEL032W
Cell cycle defects,YER007W
Cell cycle defects,YER016W
Cell cycle defects,YER023W
Cell cycle defects,YER070W
Cell cycle defects,YER095W
Cell cycle defects,YER111C
Cell cycle defects,YER133W
Cell cycle defects,YER155C
Cell cycle defects,YER173W
Cell cycle defects,YER179W
Cell cycle defects,YFL003C
Cell cycle defects,YFL008W
Cell cycle defects,YFL009W
Cell cycle defects,YFL029C
Cell cycle defects,YFL033C
Cell cycle defects,YFL038C
Cell cycle defects,YFL039C
Cell cycle defects,YFR019W
Cell cycle defects,YFR028C
Cell cycle defects,YFR031C
Cell cycle defects,YFR052W
Cell cycle defects,YGL003C
Cell cycle defects,YGL033W
Cell cycle defects,YGL048C
Cell cycle defects,YGL061C
Cell cycle defects,YGL073W
Cell cycle defects,YGL106W
Cell cycle defects,YGL116W
Cell cycle defects,YGL128C
Cell cycle defects,YGL155W
Cell cycle defects,YGL173C
Cell cycle defects,YGL175C
Cell cycle defects,YGL207W
Cell cycle defects,YGL216W
Cell cycle defects,YGL240W
Cell cycle defects,YGL249W
Cell cycle defects,YGR092W
Cell cycle defects,YGR098C
Cell cycle defects,YGR108W
Cell cycle defects,YGR109C
Cell cycle defects,YGR113W
Cell cycle defects,YGR116W
Cell cycle defects,YGR140W
Cell cycle defects,YGR180C
Cell cycle defects,YGR229C
Cell cycle defects,YHL022C
Cell cycle defects,YHR014W
Cell cycle defects,YHR023W
Cell cycle defects,YHR068W
Cell cycle defects,YHR084W
Cell cycle defects,YHR101C
Cell cycle defects,YHR107C
Cell cycle defects,YHR118C
Cell cycle defects,YHR124W
Cell cycle defects,YHR157W
Cell cycle defects,YHR164C
Cell cycle defects,YHR165C
Cell cycle defects,YHR166C
Cell cycle defects,YHR172W
Cell cycle defects,YHR205W
Cell cycle defects,YHR208W
Cell cycle defects,YIL015W
Cell cycle defects,YIL106W
Cell cycle defects,YIL123W
Cell cycle defects,YIL126W
Cell cycle defects,YIR006C
Cell cycle defects,YIR008C
Cell cycle defects,YIR011C
Cell cycle defects,YIR024C
Cell cycle defects,YJL005W
Cell cycle defects,YJL014W
Cell cycle defects,YJL026W
Cell cycle defects,YJL074C
Cell cycle defects,YJL090C
Cell cycle defects,YJL097W
Cell cycle defects,YJL146W
Cell cycle defects,YJL194W
Cell cycle defects,YJR006W
Cell cycle defects,YJR021C
Cell cycle defects,YJR053W
Cell cycle defects,YJR068W
Cell cycle defects,YJR076C
Cell cycle defects,YJR090C
Cell cycle defects,YJR094C
Cell cycle defects,YJR138W
Cell cycle defects,YKL022C
Cell cycle defects,YKL042W
Cell cycle defects,YKL049C
Cell cycle defects,YKL089W
Cell cycle defects,YKL113C
Cell cycle defects,YKL145W
Cell cycle defects,YKR001C
Cell cycle defects,YKR048C
Cell cycle defects,YKR054C
Cell cycle defects,YKR063C
Cell cycle defects,YLL004W
Cell cycle defects,YLR056W
Cell cycle defects,YLR071C
Cell cycle defects,YLR079W
Cell cycle defects,YLR096W
Cell cycle defects,YLR102C
Cell cycle defects,YLR103C
Cell cycle defects,YLR127C
Cell cycle defects,YLR175W
Cell cycle defects,YLR212C
Cell cycle defects,YLR234W
Cell cycle defects,YLR274W
Cell cycle defects,YLR292C
Cell cycle defects,YLR305C
Cell cycle defects,YLR310C
Cell cycle defects,YLR314C
Cell cycle defects,YLR321C
Cell cycle defects,YLR329W
Cell cycle defects,YLR371W
Cell cycle defects,YLR399C
Cell cycle defects,YLR442C
Cell cycle defects,YML008C
Cell cycle defects,YML031W
Cell cycle defects,YML064C
Cell cycle defects,YML104C
Cell cycle defects,YML115C
Cell cycle defects,YMR001C
Cell cycle defects,YMR032W
Cell cycle defects,YMR036C
Cell cycle defects,YMR052W
Cell cycle defects,YMR055C
Cell cycle defects,YMR094W
Cell cycle defects,YMR133W
Cell cycle defects,YMR138W
Cell cycle defects,YMR167W
Cell cycle defects,YMR168C
Cell cycle defects,YMR198W
Cell cycle defects,YMR213W
Cell cycle defects,YMR224C
Cell cycle defects,YMR284W
Cell cycle defects,YMR294W
Cell cycle defects,YNL001W
Cell cycle defects,YNL025C
Cell cycle defects,YNL102W
Cell cycle defects,YNL126W
Cell cycle defects,YNL172W
Cell cycle defects,YNL188W
Cell cycle defects,YNL189W
Cell cycle defects,YNL210W
Cell cycle defects,YNL225C
Cell cycle defects,YNL250W
Cell cycle defects,YNL271C
Cell cycle defects,YNL292W
Cell cycle defects,YNL298W
Cell cycle defects,YNL327W
Cell cycle defects,YNR010W
Cell cycle defects,YNR052C
Cell cycle defects,YOL004W
Cell cycle defects,YOL006C
Cell cycle defects,YOL069W
Cell cycle defects,YOL104C
Cell cycle defects,YOL145C
Cell cycle defects,YOR005C
Cell cycle defects,YOR014W
Cell cycle defects,YOR026W
Cell cycle defects,YOR028C
Cell cycle defects,YOR043W
Cell cycle defects,YOR098C
Cell cycle defects,YOR181W
Cell cycle defects,YOR190W
Cell cycle defects,YOR195W
Cell cycle defects,YOR198C
Cell cycle defects,YOR217W
Cell cycle defects,YOR249C
Cell cycle defects,YOR254C
Cell cycle defects,YOR257W
Cell cycle defects,YOR259C
Cell cycle defects,YOR269W
Cell cycle defects,YOR349W
Cell cycle defects,YOR351C
Cell cycle defects,YOR361C
Cell cycle defects,YPL008W
Cell cycle defects,YPL018W
Cell cycle defects,YPL042C
Cell cycle defects,YPL121C
Cell cycle defects,YPL153C
Cell cycle defects,YPL161C
Cell cycle defects,YPL174C
Cell cycle defects,YPL178W
Cell cycle defects,YPL209C
Cell cycle defects,YPL241C
Cell cycle defects,YPL242C
Cell cycle defects,YPL255W
Cell cycle defects,YPL256C
Cell cycle defects,YPL268W
Cell cycle defects,YPL269W
Cell cycle defects,YPR016C
Cell cycle defects,YPR019W
Cell cycle defects,YPR082C
Cell cycle defects,YPR103W
Cell cycle defects,YPR120C
Cell cycle defects,YPR135W
Cell cycle defects,YPR141C
Cell cycle defects,YPR165W
Cell cycle defects,YBL071W-A
Cell cycle defects,YDR363W-A
Cell cycle defects,YER044C-A
Cell cycle defects,YHR079C-A
Mating and sporulation defects,YAL009W
Mating and sporulation defects,YAL013W
Mating and sporulation defects,YAL024C
Mating and sporulation defects,YAL029C
Mating and sporulation defects,YAL041W
Mating and sporulation defects,YAR007C
Mating and sporulation defects,YBL015W
Mating and sporulation defects,YBL052C
Mating and sporulation defects,YBL058W
Mating and sporulation defects,YBL061C
Mating and sporulation defects,YBL066C
Mating and sporulation defects,YBL078C
Mating and sporulation defects,YBR040W
Mating and sporulation defects,YBR045C
Mating and sporulation defects,YBR057C
Mating and sporulation defects,YBR073W
Mating and sporulation defects,YBR081C
Mating and sporulation defects,YBR126C
Mating and sporulation defects,YBR130C
Mating and sporulation defects,YBR158W
Mating and sporulation defects,YBR171W
Mating and sporulation defects,YBR173C
Mating and sporulation defects,YBR200W
Mating and sporulation defects,YCL055W
Mating and sporulation defects,YCR009C
Mating and sporulation defects,YCR034W
Mating and sporulation defects,YCR044C
Mating and sporulation defects,YCR086W
Mating and sporulation defects,YCR088W
Mating and sporulation defects,YCR089W
Mating and sporulation defects,YDL006W
Mating and sporulation defects,YDL040C
Mating and sporulation defects,YDL106C
Mating and sporulation defects,YDL116W
Mating and sporulation defects,YDL154W
Mating and sporulation defects,YDL192W
Mating and sporulation defects,YDR002W
Mating and sporulation defects,YDR085C
Mating and sporulation defects,YDR103W
Mating and sporulation defects,YDR108W
Mating and sporulation defects,YDR123C
Mating and sporulation defects,YDR150W
Mating and sporulation defects,YDR173C
Mating and sporulation defects,YDR207C
Mating and sporulation defects,YDR218C
Mating and sporulation defects,YDR224C
Mating and sporulation defects,YDR225W
Mating and sporulation defects,YDR264C
Mating and sporulation defects,YDR285W
Mating and sporulation defects,YDR388W
Mating and sporulation defects,YDR392W
Mating and sporulation defects,YDR410C
Mating and sporulation defects,YDR523C
Mating and sporulation defects,YER068W
Mating and sporulation defects,YER095W
Mating and sporulation defects,YER133W
Mating and sporulation defects,YER149C
Mating and sporulation defects,YER172C
Mating and sporulation defects,YER179W
Mating and sporulation defects,YFL003C
Mating and sporulation defects,YFL026W
Mating and sporulation defects,YFL033C
Mating and sporulation defects,YFL037W
Mating and sporulation defects,YFL038C
Mating and sporulation defects,YFL059W
Mating and sporulation defects,YGL071W
Mating and sporulation defects,YGL090W
Mating and sporulation defects,YGL100W
Mating and sporulation defects,YGL173C
Mating and sporulation defects,YGL178W
Mating and sporulation defects,YGL180W
Mating and sporulation defects,YGL213C
Mating and sporulation defects,YGL225W
Mating and sporulation defects,YGL253W
Mating and sporulation defects,YGR023W
Mating and sporulation defects,YGR044C
Mating and sporulation defects,YGR059W
Mating and sporulation defects,YGR078C
Mating and sporulation defects,YGR109C
Mating and sporulation defects,YGR253C
Mating and sporulation defects,YHL007C
Mating and sporulation defects,YHR004C
Mating and sporulation defects,YHR005C
Mating and sporulation defects,YHR013C
Mating and sporulation defects,YHR014W
Mating and sporulation defects,YHR086W
Mating and sporulation defects,YHR119W
Mating and sporulation defects,YHR139C
Mating and sporulation defects,YHR157W
Mating and sporulation defects,YHR158C
Mating and sporulation defects,YHR184W
Mating and sporulation defects,YIL033C
Mating and sporulation defects,YIL048W
Mating and sporulation defects,YIL072W
Mating and sporulation defects,YIL073C
Mating and sporulation defects,YIL084C
Mating and sporulation defects,YIL128W
Mating and sporulation defects,YIL129C
Mating and sporulation defects,YIL154C
Mating and sporulation defects,YIR008C
Mating and sporulation defects,YIR026C
Mating and sporulation defects,YJL005W
Mating and sporulation defects,YJL054W
Mating and sporulation defects,YJL073W
Mating and sporulation defects,YJL092W
Mating and sporulation defects,YJL095W
Mating and sporulation defects,YJL157C
Mating and sporulation defects,YJL174W
Mating and sporulation defects,YJL204C
Mating and sporulation defects,YJR042W
Mating and sporulation defects,YKL045W
Mating and sporulation defects,YKL130C
Mating and sporulation defects,YKL165C
Mating and sporulation defects,YKL184W
